id,pid,ms_subclass,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,overall_qual,overall_cond,year_built,year_remod_add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,garage_type,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,misc_val,mo_sold,yr_sold,sale_type,saleprice,ms_zoning_FV,ms_zoning_RH,ms_zoning_RL,ms_zoning_RM,house_style_1.5Unf,house_style_1Story,house_style_2.5Fin,house_style_2.5Unf,house_style_2Story,house_style_SFoyer,house_style_SLvl,high_qual,best_gr_liv_area
1044,527451290,160,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,6,5,1971-01-01,1971-01-01,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,387.0,Unf,0.0,96.0,483.0,GasA,TA,1,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,TA,4,Typ,0,Detchd,Unf,1.0,264.0,TA,TA,1,0,0,0,0,0,0,0,7,2008-01-01,COD,85400,0,0,0,1,0,0,0,0,1,0,0,0,0
2752,906380150,20,7488,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,7,5,2005-01-01,2005-01-01,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,393.0,Unf,0.0,815.0,1208.0,GasA,Ex,1,SBrkr,1208,0,0,1208,0.0,0.0,2,0,2,1,Gd,6,Typ,0,Attchd,RFn,2.0,632.0,TA,TA,1,105,58,0,0,0,0,0,2,2006-01-01,WD ,183600,0,0,1,0,0,1,0,0,0,0,0,0,0
1177,533236070,160,2645,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,8,5,1999-01-01,2000-01-01,Gable,CompShg,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,813.0,Unf,0.0,147.0,960.0,GasA,Ex,1,SBrkr,962,645,0,1607,1.0,0.0,2,1,3,1,Gd,7,Typ,0,Detchd,Unf,2.0,480.0,TA,TA,1,169,0,0,0,0,0,0,12,2008-01-01,ConLD,200000,1,0,0,0,0,0,0,0,1,0,0,1,1
1480,907418040,20,9627,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,7,5,2007-01-01,2007-01-01,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0.0,1327.0,1351.0,GasA,Ex,1,SBrkr,1361,0,0,1361,0.0,0.0,2,0,3,1,Gd,6,Typ,0,Attchd,RFn,2.0,610.0,TA,TA,1,0,50,0,0,0,0,0,6,2008-01-01,WD ,193000,0,0,1,0,0,1,0,0,0,0,0,0,0
324,923202105,20,10114,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,5,5,2004-01-01,2005-01-01,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1430.0,1430.0,GasA,Ex,1,SBrkr,1430,0,0,1430,0.0,0.0,2,0,3,1,Gd,7,Typ,0,Attchd,RFn,2.0,624.0,TA,TA,1,0,0,0,0,0,0,0,3,2010-01-01,WD ,173500,0,0,1,0,0,1,0,0,0,0,0,0,0
1311,902301140,70,4571,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,5,5,1916-01-01,1950-01-01,Gable,CompShg,AsbShng,AsbShng,None,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,Fa,0,SBrkr,624,720,0,1344,0.0,0.0,1,0,4,1,TA,7,Typ,0,Detchd,Unf,3.0,513.0,Fa,Fa,1,0,0,96,0,0,0,0,5,2008-01-01,COD,98000,0,0,0,1,0,0,0,0,1,0,0,0,0
770,905101490,20,8816,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,5,6,1963-01-01,1963-01-01,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,TA,TA,No,Rec,651.0,Unf,0.0,470.0,1121.0,GasA,TA,1,SBrkr,1121,0,0,1121,1.0,0.0,1,0,3,1,TA,5,Typ,0,Detchd,Unf,2.0,480.0,TA,TA,1,0,80,0,0,0,0,0,6,2009-01-01,WD ,139000,0,0,1,0,0,1,0,0,0,0,0,0,0
2063,905107140,20,8197,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,6,5,1977-01-01,1977-01-01,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,660.0,660.0,GasA,Ex,1,SBrkr,1285,0,0,1285,0.0,0.0,1,1,3,1,TA,7,Typ,1,Attchd,RFn,2.0,528.0,TA,TA,1,138,0,0,0,0,0,0,4,2007-01-01,WD ,143500,0,0,1,0,0,1,0,0,0,0,0,0,0
69,528458070,60,8640,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,7,5,2009-01-01,2009-01-01,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,732.0,756.0,GasA,Ex,1,SBrkr,764,783,0,1547,0.0,0.0,2,1,3,1,Gd,7,Typ,0,Attchd,Unf,2.0,614.0,TA,TA,1,169,45,0,0,0,0,0,6,2010-01-01,Con,215200,1,0,0,0,0,0,0,0,1,0,0,0,1
2062,905106150,20,8724,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,5,5,1968-01-01,1968-01-01,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,TA,No,BLQ,492.0,Unf,0.0,402.0,894.0,GasA,Gd,1,SBrkr,894,0,0,894,0.0,0.0,1,0,3,1,TA,5,Typ,1,Attchd,Fin,2.0,450.0,TA,TA,1,0,0,0,0,0,0,0,5,2007-01-01,WD ,129000,0,0,1,0,0,1,0,0,0,0,0,0,0
351,527131030,120,5664,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,8,5,2000-01-01,2000-01-01,Gable,CompShg,CemntBd,CmentBd,None,Gd,TA,PConc,Gd,TA,No,GLQ,1158.0,Unf,0.0,343.0,1501.0,GasA,Ex,1,SBrkr,1659,0,0,1659,1.0,0.0,2,0,2,1,Ex,5,Typ,1,Attchd,Fin,2.0,499.0,TA,TA,1,212,59,0,0,0,0,0,10,2009-01-01,WD ,278000,0,0,1,0,0,1,0,0,0,0,0,1,1
12,527165230,20,7980,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,6,7,1992-01-01,2007-01-01,Gable,CompShg,HdBoard,HdBoard,None,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,Ex,1,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,TA,6,Typ,0,Attchd,Fin,2.0,420.0,TA,TA,1,483,21,0,0,0,0,500,3,2010-01-01,WD ,185000,0,0,1,0,0,1,0,0,0,0,0,0,0
2339,527250040,190,34650,Pave,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,5,5,1955-01-01,1955-01-01,Hip,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,Mn,Rec,1056.0,Unf,0.0,0.0,1056.0,GasA,TA,0,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,TA,5,Typ,0,Attchd,Fin,2.0,572.0,TA,TA,1,264,0,0,0,0,0,0,1,2006-01-01,WD ,145000,0,0,1,0,0,1,0,0,0,0,0,0,0
624,535104120,20,10573,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,6,6,1961-01-01,1961-01-01,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,1312.0,Unf,0.0,141.0,1453.0,GasA,Ex,1,SBrkr,1453,0,0,1453,1.0,0.0,2,0,3,1,TA,6,Typ,1,Attchd,RFn,2.0,530.0,TA,TA,1,0,49,0,0,288,0,0,4,2009-01-01,WD ,187500,0,0,1,0,0,1,0,0,0,0,0,0,0
86,532376160,20,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,5,8,1965-01-01,2009-01-01,Gable,CompShg,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,553.0,BLQ,117.0,224.0,894.0,GasA,Ex,1,SBrkr,894,0,0,894,1.0,0.0,1,0,3,1,TA,5,Typ,1,Detchd,Unf,1.0,336.0,TA,TA,1,416,144,0,0,0,0,0,4,2010-01-01,WD ,138500,0,0,1,0,0,1,0,0,0,0,0,0,0
1534,909277040,50,11700,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,5,6,1937-01-01,1995-01-01,Gable,CompShg,WdShing,Wd Shng,None,TA,TA,CBlock,TA,TA,No,BLQ,606.0,Unf,0.0,336.0,942.0,GasA,Ex,1,SBrkr,1265,673,0,1938,0.0,0.0,2,0,4,1,Gd,7,Min2,1,Detchd,Unf,1.0,240.0,TA,TA,1,0,40,0,0,0,0,0,7,2008-01-01,WD ,198000,0,0,1,0,0,0,0,0,0,0,0,0,1
1957,535450190,50,8064,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,5,7,1949-01-01,2006-01-01,Gable,CompShg,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,Unf,0.0,672.0,672.0,GasA,Ex,1,SBrkr,672,252,0,924,0.0,0.0,1,0,3,1,TA,6,Typ,1,Detchd,Unf,2.0,576.0,TA,TA,1,0,0,0,0,0,0,2000,7,2007-01-01,WD ,122900,0,0,1,0,0,0,0,0,0,0,0,0,0
380,527355150,20,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,8,5,1981-01-01,1981-01-01,Hip,WdShngl,BrkFace,BrkFace,None,Gd,TA,PConc,Gd,TA,No,ALQ,1104.0,Unf,0.0,1420.0,2524.0,GasA,TA,1,SBrkr,2524,0,0,2524,1.0,0.0,2,1,4,1,Gd,9,Typ,1,Attchd,Fin,2.0,542.0,TA,TA,1,474,120,0,0,0,0,0,7,2009-01-01,WD ,278000,0,0,1,0,0,1,0,0,0,0,0,1,1
2860,909276010,70,11435,Pave,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,8,7,1929-01-01,1950-01-01,Gable,CompShg,BrkFace,Stucco,None,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,792.0,792.0,GasA,Fa,1,SBrkr,792,725,0,1517,0.0,0.0,1,0,3,1,Gd,7,Typ,2,Detchd,Unf,2.0,400.0,TA,TA,1,0,0,0,0,0,0,0,6,2006-01-01,WD ,230000,0,0,1,0,0,0,0,0,1,0,0,1,1
2517,533250130,120,9549,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,8,5,1995-01-01,1996-01-01,Hip,CompShg,BrkFace,BrkFace,None,Gd,Gd,PConc,Gd,Gd,Av,LwQ,437.0,GLQ,1057.0,0.0,1494.0,GasA,Ex,1,SBrkr,1494,0,0,1494,1.0,0.0,1,1,2,1,Ex,6,Typ,1,Attchd,Fin,2.0,481.0,TA,TA,1,0,30,0,0,216,0,0,4,2006-01-01,WD ,270000,0,0,1,0,0,1,0,0,0,0,0,1,0
1933,535302070,20,10950,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,6,6,1952-01-01,1952-01-01,Hip,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,ALQ,441.0,Unf,0.0,507.0,948.0,GasA,TA,1,SBrkr,948,0,0,948,0.0,0.0,1,0,2,1,TA,5,Typ,0,Detchd,Unf,2.0,410.0,TA,TA,0,0,48,0,0,0,0,0,4,2007-01-01,WD ,125000,0,0,1,0,0,1,0,0,0,0,0,0,0
820,906340110,20,10637,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,8,5,2007-01-01,2008-01-01,Hip,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Gd,GLQ,1288.0,Unf,0.0,417.0,1705.0,GasA,Ex,1,SBrkr,1718,0,0,1718,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Attchd,RFn,3.0,826.0,TA,TA,1,208,44,0,0,0,0,0,9,2009-01-01,WD ,297000,0,0,1,0,0,1,0,0,0,0,0,1,1
675,535426150,20,9000,Pave,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,6,6,1958-01-01,1958-01-01,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,Gd,TA,Gd,Unf,0.0,Unf,0.0,160.0,160.0,GasA,Fa,1,SBrkr,1142,0,0,1142,0.0,0.0,1,0,2,1,TA,5,Typ,1,Basment,RFn,1.0,384.0,TA,TA,1,0,28,64,0,0,0,0,4,2009-01-01,WD ,113500,0,0,1,0,0,1,0,0,0,0,0,0,0
2910,923225240,160,2665,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,5,6,1977-01-01,1977-01-01,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,PConc,TA,TA,No,ALQ,548.0,Rec,173.0,36.0,757.0,GasA,Ex,1,SBrkr,925,550,0,1475,0.0,0.0,2,0,4,1,TA,6,Typ,1,Attchd,RFn,1.0,336.0,TA,TA,1,104,26,0,0,0,0,0,7,2006-01-01,WD ,127000,0,0,0,1,0,0,0,0,1,0,0,0,0
21,527358140,20,11751,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,6,6,1977-01-01,1977-01-01,Hip,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,No,BLQ,705.0,Unf,0.0,1139.0,1844.0,GasA,Ex,1,SBrkr,1844,0,0,1844,0.0,0.0,2,0,3,1,TA,7,Typ,1,Attchd,RFn,2.0,546.0,TA,TA,1,0,122,0,0,0,0,0,1,2010-01-01,COD,190000,0,0,1,0,0,1,0,0,0,0,0,0,1
1873,534177210,20,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,7,6,1973-01-01,1973-01-01,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,916.0,Unf,0.0,326.0,1242.0,GasA,Fa,1,SBrkr,1242,0,0,1242,0.0,0.0,1,1,3,1,TA,6,Typ,1,Attchd,Unf,2.0,528.0,TA,TA,1,0,0,0,0,0,0,0,9,2007-01-01,WD ,175500,0,0,1,0,0,1,0,0,0,0,0,0,0
2125,907135050,20,8428,Pave,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,5,7,1994-01-01,1994-01-01,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,PConc,Gd,Gd,No,GLQ,420.0,Unf,0.0,570.0,990.0,GasA,Ex,1,SBrkr,990,0,0,990,1.0,0.0,1,0,3,1,TA,5,Typ,0,Detchd,Unf,1.0,384.0,TA,TA,1,256,0,0,0,0,0,0,7,2007-01-01,WD ,146000,0,0,1,0,0,1,0,0,0,0,0,0,0
1489,908102260,20,9937,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,5,6,1965-01-01,1965-01-01,Gable,CompShg,HdBoard,HdBoard,None,Gd,TA,CBlock,TA,TA,No,BLQ,830.0,LwQ,290.0,136.0,1256.0,GasA,Gd,1,SBrkr,1256,0,0,1256,1.0,0.0,1,1,3,1,TA,6,Typ,0,Attchd,Fin,1.0,276.0,TA,TA,1,736,68,0,0,0,0,0,6,2008-01-01,WD ,147500,0,0,1,0,0,1,0,0,0,0,0,0,0
983,923275040,85,9101,Pave,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,5,6,1978-01-01,1978-01-01,Gable,CompShg,Plywood,Plywood,BrkFace,TA,Gd,PConc,Gd,TA,Av,GLQ,1097.0,Unf,0.0,0.0,1097.0,GasA,Ex,1,SBrkr,1110,0,0,1110,1.0,0.0,1,0,1,1,Gd,4,Typ,1,Attchd,Fin,2.0,602.0,TA,TA,1,303,30,0,0,0,0,0,7,2009-01-01,WD ,165500,0,0,1,0,0,0,0,0,0,1,0,0,0
1325,902406090,50,12150,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,5,5,1954-01-01,1954-01-01,Gable,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,1050.0,1050.0,GasA,Ex,0,FuseF,1050,745,0,1795,0.0,0.0,2,0,4,1,TA,7,Typ,0,Attchd,Unf,1.0,352.0,Fa,TA,1,0,0,0,0,0,0,0,11,2008-01-01,WD ,131500,0,0,0,1,0,0,0,0,0,0,0,0,1
1378,905102170,20,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,5,5,1965-01-01,1965-01-01,Hip,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Rec,906.0,Unf,0.0,134.0,1040.0,GasA,Ex,1,SBrkr,1040,0,0,1040,1.0,0.0,1,0,3,1,TA,5,Typ,0,Detchd,Unf,1.0,384.0,TA,TA,1,0,0,0,0,0,0,0,2,2008-01-01,WD ,129500,0,0,1,0,0,1,0,0,0,0,0,0,0
1537,909281110,70,9670,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,8,6,1935-01-01,1950-01-01,Gable,CompShg,BrkFace,Stucco,Stone,TA,TA,PConc,TA,Fa,No,LwQ,210.0,Unf,0.0,398.0,608.0,GasA,TA,1,SBrkr,983,890,0,1873,0.0,0.0,1,1,4,1,TA,9,Typ,2,Detchd,Fin,2.0,786.0,Fa,TA,1,0,0,207,0,0,0,0,6,2008-01-01,WD ,257076,0,0,1,0,0,0,0,0,1,0,0,1,1
905,909101140,50,10998,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,5,5,1941-01-01,1960-01-01,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,LwQ,408.0,BLQ,420.0,156.0,984.0,GasA,Ex,1,SBrkr,984,620,0,1604,0.0,0.0,2,0,3,1,TA,6,Min2,0,Detchd,Unf,2.0,660.0,TA,TA,1,0,68,0,0,0,0,0,7,2009-01-01,WD ,117000,0,0,1,0,0,0,0,0,0,0,0,0,1
1532,909275050,70,7200,Pave,Reg,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,7,6,1931-01-01,2000-01-01,Gable,CompShg,Stucco,Wd Shng,None,TA,Fa,BrkTil,Gd,TA,No,Unf,0.0,Unf,0.0,776.0,776.0,GasA,TA,1,SBrkr,851,651,0,1502,0.0,0.0,1,1,3,1,TA,6,Typ,1,Attchd,RFn,1.0,270.0,TA,TA,0,0,0,112,0,0,0,0,2,2008-01-01,WD ,149000,0,0,1,0,0,0,0,0,1,0,0,0,1
132,534475100,20,9920,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,5,5,1954-01-01,1954-01-01,Gable,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,TA,TA,No,Rec,354.0,LwQ,290.0,412.0,1056.0,GasA,TA,1,SBrkr,1063,0,0,1063,1.0,0.0,1,0,3,1,TA,6,Typ,0,Attchd,RFn,1.0,280.0,TA,TA,1,0,0,164,0,0,0,0,2,2010-01-01,WD ,128000,0,0,1,0,0,1,0,0,0,0,0,0,0
