overall_qual,year_built,year_remod/add,mas_vnr_area,bsmtfin_sf_1,total_bsmt_sf,central_air,1st_flr_sf,gr_liv_area,full_bath,totrms_abvgrd,garage_cars,paved_drive,open_porch_sf,saleprice,garage_yr_blt_imp,total_sf,heating_qc_oe,ms_subclass_60,neighborhood_NridgHt,foundation_PConc,high_qual,best_gr_live_area,recent_remodel,heatqc_is_ex,has_fireplaces,massive_sf,both_exterior_VynilSd
6,1996,1996,0.0,138.0,916.0,1,916,1636,2,7,2.0,1,84,173000,1996,2804.0,2.0,1,0,1,0,0,0,0,1,0,0
8,1999,2007,348.0,524.0,1152.0,1,1164,2270,2,9,3.0,1,57,290000,1999,3611.0,4.0,1,0,1,1,1,1,1,1,1,1
7,1977,2001,0.0,1092.0,1420.0,1,1483,1483,1,4,2.0,1,0,270000,1977,3399.0,2.0,0,0,0,1,0,0,0,1,1,0
5,1920,1950,0.0,360.0,936.0,0,960,1740,1,6,1.0,0,0,122250,1920,2676.0,2.0,0,0,0,0,1,0,0,1,0,0
5,1955,1955,0.0,172.0,1382.0,1,1382,1382,1,6,1.0,1,0,153000,1955,3044.0,2.0,0,0,0,0,0,0,0,0,1,0
5,2007,2007,0.0,206.0,1120.0,1,1120,1120,1,6,0.0,1,30,147000,1977,2270.0,4.0,0,0,1,0,0,1,1,0,0,1
7,1930,1995,0.0,246.0,531.0,1,567,1098,1,5,1.0,1,0,148500,1930,1629.0,3.0,0,0,0,1,0,0,0,1,0,0
7,2004,2004,117.0,0.0,976.0,1,976,1708,2,7,2.0,1,40,130000,2004,2724.0,4.0,0,0,1,1,1,1,1,0,0,1
7,2005,2005,145.0,16.0,1362.0,1,1506,1506,2,6,2.0,1,20,213490,2005,3030.0,4.0,0,0,1,1,0,1,1,1,1,1
7,2009,2010,96.0,1346.0,1508.0,1,1508,1508,1,5,2.0,1,0,308030,2009,3016.0,4.0,0,0,1,1,0,1,1,1,0,1
7,1996,1997,668.0,700.0,1840.0,1,2032,2032,3,7,3.0,1,46,300000,1996,3918.0,4.0,0,0,1,1,1,0,1,0,1,0
6,1959,1959,0.0,655.0,655.0,1,1194,1194,1,6,2.0,1,0,159500,1954,1849.0,4.0,0,0,0,0,0,0,1,1,0,0
7,2004,2004,50.0,0.0,970.0,1,970,1709,2,7,2.0,1,40,137500,2004,2719.0,4.0,0,0,1,1,1,1,1,0,0,1
7,2005,2005,228.0,0.0,1616.0,1,1616,1616,2,7,3.0,1,59,232000,2005,3499.0,4.0,0,0,1,1,0,1,1,0,1,1
6,1930,1950,0.0,0.0,768.0,1,768,768,1,4,2.0,0,0,93850,1930,1536.0,3.0,0,0,0,0,0,0,0,0,0,0
5,1924,1950,65.0,0.0,872.0,0,872,872,1,5,1.0,0,0,105000,1924,1744.0,1.0,0,0,0,0,0,0,0,1,0,0
4,1927,1950,0.0,0.0,520.0,0,520,520,1,4,1.0,1,0,68500,1920,1089.0,1.0,0,0,0,0,0,0,0,0,0,0
5,1960,1960,361.0,443.0,1105.0,1,1105,2274,2,12,2.0,1,0,154300,1960,3379.0,3.0,0,0,0,0,1,0,0,0,1,0
5,1925,2003,0.0,0.0,936.0,1,936,1601,2,6,0.0,0,0,129850,1977,2537.0,4.0,0,0,0,0,0,1,1,0,0,1
5,1910,1950,0.0,168.0,616.0,1,616,1232,1,6,2.0,1,0,114000,1920,2128.0,4.0,0,0,0,0,0,0,1,0,0,0
5,1915,1950,0.0,0.0,876.0,1,876,1416,1,7,3.0,1,0,153900,1949,2710.0,2.0,0,0,0,0,0,0,0,1,0,0
4,1971,2006,0.0,240.0,864.0,1,864,864,1,5,2.0,1,0,130000,1986,1928.0,2.0,0,0,0,0,0,1,0,0,0,1
6,1997,1997,197.0,864.0,1189.0,1,1189,1189,2,4,2.0,1,122,160500,1997,2500.0,4.0,0,0,1,0,0,0,1,0,0,1
9,2006,2006,572.0,415.0,1666.0,1,1666,1666,2,6,2.0,1,75,310090,2006,3635.0,4.0,0,1,1,1,1,1,1,1,1,0
5,1956,2000,0.0,377.0,928.0,1,928,928,1,4,1.0,1,0,132000,1956,2117.0,3.0,0,0,0,0,0,0,0,0,0,0
5,1969,1969,128.0,553.0,1288.0,1,1336,1336,2,6,2.0,1,11,163000,1969,2947.0,3.0,0,0,0,0,0,0,0,1,0,0
7,2004,2004,120.0,280.0,600.0,1,600,1200,2,4,2.0,1,172,155000,2004,1972.0,4.0,0,0,1,1,0,1,1,0,0,0
6,1969,1969,0.0,828.0,1427.0,1,1427,1427,2,7,2.0,1,0,183000,1969,2854.0,2.0,0,0,0,0,0,0,0,0,0,0
7,1996,2002,254.0,762.0,860.0,1,1212,1992,2,7,2.0,1,32,211000,1996,3109.0,4.0,1,0,1,1,1,0,1,1,1,1
7,1994,1994,0.0,36.0,754.0,1,754,1540,2,6,2.0,1,32,184000,1994,2466.0,4.0,1,0,1,1,0,0,1,0,0,1
5,1979,1979,0.0,0.0,0.0,1,1535,1535,2,8,2.0,1,0,118858,1979,1535.0,3.0,0,0,0,0,0,0,0,0,0,0
5,1964,1964,86.0,1014.0,1152.0,1,1152,1152,1,6,2.0,1,0,180500,1964,2531.0,3.0,0,0,1,0,0,0,0,1,0,0
8,2006,2007,30.0,60.0,1141.0,1,1151,1151,2,5,2.0,1,60,166000,2006,2352.0,4.0,0,0,1,1,0,1,1,0,0,1
6,1960,1960,54.0,588.0,1138.0,1,1138,1138,1,6,2.0,1,0,148000,1960,2276.0,4.0,0,0,0,0,0,0,1,1,0,0
5,1956,1956,0.0,438.0,894.0,1,1074,1074,1,6,2.0,1,72,124000,1966,2040.0,2.0,0,0,0,0,0,0,0,1,0,0
9,2005,2005,246.0,1153.0,1561.0,1,1561,1561,2,6,2.0,1,47,277500,2005,3372.0,4.0,0,1,1,1,0,1,1,1,1,0
4,1920,2002,0.0,348.0,528.0,1,605,605,1,5,0.0,0,0,86000,1977,1133.0,4.0,0,0,0,0,0,0,1,0,0,0
8,1976,2007,0.0,1044.0,1426.0,1,1671,1671,3,6,2.0,1,90,290000,1976,3467.0,4.0,0,0,0,1,1,1,1,1,1,1
3,1900,1950,0.0,0.0,245.0,0,797,797,1,5,0.0,0,36,44000,1977,1078.0,3.0,0,0,0,0,0,0,0,0,0,0
6,2001,2002,0.0,690.0,804.0,1,804,1961,2,7,2.0,1,192,215000,2001,3082.0,4.0,1,0,1,0,1,0,1,1,1,1
5,1972,1972,144.0,962.0,1153.0,1,1193,1193,2,6,2.0,1,153,146500,1972,2639.0,4.0,0,0,0,0,0,0,1,0,0,0
7,2000,2000,0.0,641.0,673.0,1,673,1382,2,6,2.0,1,50,165000,2000,2258.0,4.0,0,0,1,1,0,0,1,0,0,0
6,1916,1950,0.0,168.0,714.0,0,1664,2526,2,10,1.0,1,15,136000,1916,3343.0,3.0,0,0,0,0,1,0,0,1,1,0
6,1957,1957,902.0,1110.0,1705.0,1,1390,1390,1,4,2.0,1,189,252000,1957,3284.0,4.0,0,0,0,0,0,0,1,1,1,0
7,2003,2003,106.0,0.0,764.0,1,764,1626,2,6,2.0,1,27,175500,2003,2417.0,4.0,0,1,1,1,0,1,1,0,0,0
5,1939,1950,0.0,421.0,690.0,1,868,1558,1,7,2.0,1,36,150000,1939,2284.0,3.0,0,0,0,0,0,0,0,1,0,0
5,1960,1978,0.0,0.0,978.0,1,1422,1422,1,6,1.0,1,0,139900,1960,2400.0,3.0,0,0,0,0,0,0,0,1,0,0
5,1930,1992,0.0,0.0,1078.0,1,1128,1573,2,8,2.0,0,0,162900,1930,2651.0,3.0,0,0,1,0,0,0,0,1,0,0
6,1962,1962,261.0,0.0,1116.0,1,1116,1116,1,5,2.0,1,0,160000,1962,2232.0,3.0,0,0,0,0,0,0,0,0,0,0
2,1947,1950,0.0,0.0,0.0,0,660,660,1,5,0.0,0,0,63900,1977,660.0,1.0,0,0,0,0,0,0,0,0,0,0
6,1978,1998,144.0,832.0,1140.0,1,1707,1707,2,7,2.0,1,0,184000,1978,2847.0,2.0,0,0,1,0,1,0,0,1,0,0
5,1959,1959,132.0,176.0,1466.0,1,1466,1466,1,6,2.0,1,140,149900,1959,3072.0,3.0,0,0,0,0,0,0,0,1,1,0
9,2000,2000,260.0,1027.0,1614.0,1,1638,1638,2,5,2.0,1,68,300000,2000,3550.0,4.0,0,0,1,1,0,0,1,1,1,0
5,1960,1960,275.0,988.0,988.0,1,1721,1721,2,7,2.0,1,84,145000,1960,2843.0,2.0,0,0,0,0,1,0,0,1,0,0
6,1997,1997,0.0,821.0,928.0,1,928,1764,2,7,2.0,1,99,231500,1997,3067.0,4.0,1,0,1,0,1,0,1,0,1,1
5,1940,1969,0.0,290.0,996.0,1,996,996,1,6,0.0,1,0,108000,1977,2136.0,4.0,0,0,0,0,0,0,1,1,0,0
5,1956,1956,0.0,435.0,1202.0,1,1202,1202,1,6,1.0,1,35,120000,1956,2439.0,3.0,0,0,0,0,0,0,0,0,0,0
5,1961,1961,57.0,827.0,988.0,1,988,988,1,5,2.0,1,0,128500,1963,1976.0,3.0,0,0,0,0,0,0,0,0,0,0
5,1927,1950,0.0,0.0,1008.0,1,1028,1028,1,5,2.0,1,0,115000,1927,2036.0,2.0,0,0,0,0,0,0,0,1,0,0
5,1947,1950,0.0,312.0,720.0,1,720,1284,1,5,1.0,1,35,110000,1948,2039.0,3.0,0,0,0,0,0,0,0,0,0,0
8,2004,2004,0.0,0.0,707.0,1,707,1414,2,6,2.0,1,35,178000,2004,2256.0,4.0,1,0,1,1,0,1,1,1,0,1
7,1932,1990,0.0,0.0,637.0,1,959,1609,1,8,3.0,1,0,199500,1963,2246.0,4.0,0,0,0,1,0,0,1,1,0,0
6,1997,1998,0.0,700.0,813.0,1,813,1525,2,6,2.0,1,72,183500,1997,2831.0,4.0,1,0,1,0,0,0,1,1,0,1
5,1967,1967,0.0,257.0,624.0,1,1092,1656,1,7,1.0,1,180,126000,1967,2460.0,4.0,0,0,0,0,0,0,1,1,0,0
7,1977,1977,0.0,378.0,1055.0,1,1055,1055,2,4,2.0,1,38,148500,1977,2148.0,1.0,0,0,0,1,0,0,0,0,0,0
5,1939,2006,0.0,0.0,676.0,1,676,1352,2,7,2.0,1,0,149000,1939,2215.0,4.0,1,0,0,0,0,1,1,0,0,1
6,1977,1977,0.0,389.0,855.0,1,855,1456,2,6,2.0,1,28,137900,1977,2339.0,3.0,0,0,0,0,0,0,0,1,0,0
8,1993,1993,0.0,1619.0,1719.0,1,1719,1719,1,6,2.0,1,30,324000,1993,3590.0,4.0,0,0,1,1,1,0,1,1,1,0
5,1925,1950,0.0,468.0,864.0,0,864,864,1,5,0.0,1,0,98000,1977,1728.0,3.0,0,0,0,0,0,0,0,0,0,0
6,1973,1973,359.0,458.0,483.0,1,483,987,1,5,1.0,1,0,103400,1973,1522.0,3.0,0,0,0,0,0,0,0,0,0,0
5,1875,1996,0.0,0.0,780.0,0,780,1020,1,6,0.0,0,0,94000,1977,1800.0,2.0,0,0,0,0,0,0,0,0,0,1
8,2006,2006,108.0,24.0,1554.0,1,1554,1554,2,6,2.0,1,73,209500,2006,3337.0,4.0,0,1,1,1,0,1,1,1,1,1
6,1912,2009,0.0,0.0,780.0,1,780,1560,1,7,0.0,0,0,159900,1977,2684.0,4.0,0,0,1,0,0,1,1,0,0,0
4,1951,1951,0.0,120.0,864.0,1,864,864,1,4,2.0,1,0,141000,1951,1728.0,4.0,0,0,0,0,0,0,1,0,0,1
6,2000,2000,0.0,732.0,982.0,1,1008,1889,2,9,2.0,1,0,215000,2000,2871.0,4.0,1,0,1,0,1,0,1,1,0,1
5,1962,2010,0.0,659.0,1040.0,1,1040,1040,1,6,1.0,1,104,127000,1962,2184.0,4.0,0,0,0,0,0,1,1,0,0,0
5,1954,1998,0.0,954.0,1172.0,1,1172,1172,1,5,1.0,1,0,128000,1954,2584.0,3.0,0,0,0,0,0,0,0,0,0,0
8,2010,2010,0.0,1032.0,1642.0,1,1418,1418,1,6,3.0,1,192,267916,2010,3412.0,4.0,0,0,1,1,0,1,1,1,1,0
6,1931,1950,0.0,425.0,884.0,1,959,1367,1,6,1.0,1,0,127500,1978,2251.0,3.0,0,0,0,0,0,0,0,1,0,0
7,2003,2003,500.0,0.0,0.0,1,495,1922,3,7,2.0,1,0,198500,2003,1922.0,4.0,0,0,0,1,1,1,1,1,0,0
6,1981,1981,210.0,588.0,1422.0,1,1422,1422,2,7,2.0,1,0,175500,1981,3120.0,3.0,0,0,0,0,0,0,0,1,1,0
7,2000,2000,144.0,841.0,985.0,1,985,1842,2,7,2.0,1,96,217500,2000,3116.0,4.0,1,0,1,1,1,0,1,1,1,1
4,1915,1950,0.0,0.0,888.0,1,888,1962,1,9,2.0,1,0,149500,1915,3010.0,4.0,0,0,0,0,1,0,1,1,0,0
5,1966,2004,165.0,644.0,864.0,1,1120,1120,1,5,2.0,1,162,148800,1966,2146.0,4.0,0,0,1,0,0,1,1,1,0,0
6,1957,1957,0.0,189.0,1478.0,1,1478,1478,1,6,2.0,1,0,156500,1957,3070.0,2.0,0,0,0,0,0,0,0,1,1,0
7,1995,1996,0.0,685.0,930.0,1,950,1995,2,8,2.0,1,170,237000,1995,3370.0,4.0,1,0,1,1,1,0,1,1,1,1
5,1958,1985,0.0,111.0,912.0,1,912,912,1,5,1.0,1,285,120000,1958,2121.0,1.0,0,0,0,0,0,0,0,0,0,0
6,2005,2005,0.0,918.0,1326.0,1,1326,1326,2,6,2.0,1,23,203000,2005,2795.0,4.0,0,0,1,0,0,1,1,0,0,1
8,1987,1987,0.0,0.0,1191.0,1,1204,1204,2,5,2.0,1,70,130000,1987,2585.0,3.0,0,0,0,1,0,0,0,0,0,0
6,1964,1964,360.0,674.0,780.0,1,798,1611,1,7,2.0,1,128,167900,1964,2847.0,3.0,1,0,0,0,0,0,0,0,0,0
4,1970,1970,160.0,789.0,960.0,0,960,960,1,6,2.0,1,288,129000,1970,2208.0,3.0,0,0,0,0,0,0,0,0,0,0
5,1957,1996,64.0,360.0,1070.0,1,1236,1236,1,6,1.0,1,0,134450,1957,2306.0,3.0,0,0,0,0,0,0,0,1,0,0
5,1918,2007,0.0,0.0,816.0,1,1416,1416,2,7,2.0,0,0,112000,2007,2232.0,4.0,0,0,0,0,0,1,1,0,0,0
7,1988,1988,360.0,608.0,929.0,1,946,1873,2,7,2.0,1,48,207000,1988,2958.0,4.0,1,0,1,1,1,0,1,1,0,0
5,1922,1950,0.0,0.0,1040.0,0,1088,2128,2,11,0.0,1,56,62500,1977,3224.0,3.0,0,0,0,0,1,0,0,0,1,0
7,2003,2004,106.0,573.0,764.0,1,764,1626,2,6,2.0,1,27,154000,2003,2417.0,4.0,0,1,1,1,0,1,1,0,0,0
5,1957,1957,0.0,708.0,816.0,1,816,816,1,5,1.0,1,0,129900,1957,1632.0,3.0,0,0,0,0,0,0,0,0,0,0
5,1976,1976,0.0,129.0,536.0,1,536,1112,1,4,1.0,1,0,85000,1976,1830.0,3.0,0,0,0,0,0,0,0,0,0,0
7,1926,1950,0.0,0.0,572.0,1,572,1111,1,5,1.0,1,0,116900,1982,1683.0,3.0,0,0,1,1,0,0,0,1,0,0
6,1978,1978,0.0,311.0,855.0,1,855,1441,2,7,2.0,1,0,148500,1978,2324.0,3.0,0,0,0,0,0,0,0,1,0,0
4,1941,1950,0.0,348.0,672.0,0,672,924,1,5,1.0,1,0,80000,1941,1596.0,1.0,0,0,0,0,0,0,0,0,0,0
5,1984,1984,0.0,104.0,1060.0,1,1126,1126,1,5,2.0,1,0,152000,1984,2364.0,3.0,0,0,1,0,0,0,0,0,0,1
5,1954,1954,0.0,0.0,381.0,1,992,992,1,6,1.0,1,0,155891,1954,1433.0,4.0,0,0,0,0,0,0,1,0,0,1
6,1920,1950,0.0,0.0,768.0,1,752,1376,1,7,2.0,0,54,165000,1977,2198.0,4.0,0,0,1,0,0,0,1,0,0,0
7,2009,2010,0.0,0.0,1218.0,1,1218,1218,2,4,2.0,1,136,204500,2009,2572.0,4.0,0,0,1,1,0,1,1,0,0,1
5,1942,1995,224.0,386.0,728.0,1,888,1644,1,7,1.0,1,0,146500,1942,2540.0,4.0,0,0,0,0,0,0,1,1,0,0
7,1978,1978,206.0,704.0,1271.0,1,1601,1601,2,7,2.0,1,0,157000,1978,2872.0,3.0,0,0,0,1,0,0,0,1,0,0
7,1890,1999,0.0,0.0,1313.0,1,1313,2495,2,10,2.0,1,299,184000,1950,4107.0,2.0,0,0,0,1,1,0,0,1,1,0
6,2002,2003,0.0,457.0,783.0,1,807,1509,2,7,2.0,1,75,183200,2002,2467.0,4.0,1,0,1,0,0,1,1,1,0,1
5,1962,1962,116.0,170.0,1092.0,1,1092,1092,1,6,1.0,1,20,139000,1962,2204.0,3.0,0,0,0,0,0,0,0,1,0,0
6,1971,1971,504.0,156.0,483.0,1,483,987,1,5,1.0,1,0,96000,1971,1745.0,3.0,0,0,0,0,0,0,0,0,0,0
4,2003,2004,0.0,0.0,1121.0,1,1121,1121,2,5,2.0,1,64,140000,2003,2438.0,4.0,0,0,1,0,0,1,1,0,0,1
6,1957,1996,0.0,600.0,912.0,1,1236,1236,1,6,2.0,1,158,149700,1957,2306.0,3.0,0,0,0,0,0,0,0,0,0,0
5,1975,1975,0.0,788.0,1056.0,1,1074,1074,1,6,2.0,1,88,153500,1975,2218.0,4.0,0,0,0,0,0,0,1,0,0,0
1,1952,1952,0.0,0.0,0.0,0,733,733,1,4,2.0,0,0,13100,1952,733.0,0.0,0,0,0,0,0,0,0,0,0,0
7,2003,2003,252.0,550.0,884.0,1,884,1768,2,8,2.0,1,63,224900,2003,2715.0,4.0,1,0,1,1,1,1,1,0,0,1
7,2005,2005,0.0,0.0,1257.0,1,1266,1266,2,6,2.0,1,144,176000,2005,2705.0,4.0,0,0,1,1,0,1,1,1,0,1
8,2007,2007,84.0,929.0,1485.0,1,1464,1464,2,6,3.0,1,160,282922,2007,3277.0,4.0,0,0,1,1,0,1,1,0,1,1
7,1966,1966,309.0,445.0,924.0,1,1216,2157,2,8,2.0,1,66,226000,1966,3252.0,4.0,1,0,0,1,1,0,1,1,1,0
8,1976,1976,0.0,51.0,966.0,1,1743,1743,0,5,2.0,1,0,279000,1976,3355.0,4.0,0,0,0,1,1,0,1,1,1,0
6,1977,1977,0.0,1567.0,1567.0,1,1567,1567,2,5,2.0,1,32,196000,1977,3430.0,3.0,0,0,1,0,0,0,0,1,1,0
7,1976,1976,189.0,0.0,1090.0,1,1370,1370,2,6,2.0,1,0,152000,1976,2460.0,3.0,0,0,0,1,0,0,0,1,0,0
8,2005,2006,198.0,1122.0,1570.0,1,1590,1590,2,6,3.0,1,80,294900,2005,3416.0,4.0,0,0,1,1,0,1,1,0,1,1
7,2008,2009,140.0,0.0,1450.0,1,1450,1450,2,6,3.0,1,93,224243,2008,2993.0,4.0,0,0,1,1,0,1,1,0,0,1
6,1915,1950,0.0,0.0,832.0,1,846,1338,2,7,2.0,0,0,92000,1974,2170.0,3.0,0,0,0,0,0,0,0,0,0,0
